Rank,2017_pop_estimate,2010_pop_census,CSA
1,"20,320,876","19,567,410","New York-Newark, NY-NJ-CT-PA CSA"
2,"13,353,907","12,828,837","Los Angeles-Long Beach, CA CSA"
3,"9,533,040","9,461,105","Chicago-Naperville, IL-IN-WI CSA"
4,"7,399,662","6,426,214","Dallas-Fort Worth, TX-OK CSA"
5,"6,892,427","5,920,416","Houston-The Woodlands, TX CSA"
6,"6,216,589","5,636,232","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
7,"6,158,824","5,564,635","Miami-Fort Lauderdale-Port St. Lucie, FL CSA"
8,"6,096,120","5,965,343","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
9,"5,884,736","5,286,728","Atlanta-Athens-Sandy Springs, GA CSA"
10,"4,836,531","4,552,402","Boston-Worcester-Providence, MA-RI-NH-CT CSA"
11,"4,737,270","4,192,887",
12,"4,727,357","4,335,391","San Jose-San Francisco-Oakland, CA CSA"
13,"4,580,670","4,224,851","Los Angeles-Long Beach, CA CSA"
14,"4,313,002","4,296,250","Detroit-Warren-Ann Arbor, MI CSA"
15,"3,867,046","3,439,809","Seattle-Tacoma, WA CSA"
16,"3,600,618","3,348,859","Minneapolis-St. Paul, MN-WI CSA"
17,"3,337,685","3,095,313",
18,"3,091,399","2,783,243",
19,"2,888,227","2,543,482","Denver-Aurora-Lakewood, CO MSA"
20,"2,808,175","2,710,489","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
21,"2,807,338","2,787,701","St. Louis-St. Charles-Farmington, MO-IL CSA"
22,"2,525,305","2,217,012","Charlotte-Concord, NC-SC CSA"
23,"2,509,831","2,134,411","Orlando-Deltona-Daytona Beach, FL CSA"
24,"2,473,974","2,142,508",
25,"2,453,168","2,226,009","Portland-Vancouver-Salem, OR-WA CSA"
26,"2,333,367","2,356,285","Pittsburgh-New Castle-Weirton, PA-OH-WV CSA"
27,"2,324,884","2,149,127","Sacramento-Roseville, CA CSA"
28,"2,204,079","1,951,269","Las Vegas-Henderson, NV-AZ CSA"
29,"2,179,082","2,114,580","Cincinnati-Wilmington-Maysville, OH-KY-IN CSA"
30,"2,128,912","2,009,342","Kansas City-Overland Park-Kansas City, MO-KS CSA"
31,"2,115,827","1,716,289",
32,"2,078,725","1,901,974","Columbus-Marion-Zanesville, OH CSA"
33,"2,058,844","2,077,240","Cleveland-Akron-Canton, OH CSA"
34,"2,028,614","1,887,877","Indianapolis-Carmel-Muncie, IN CSA"
35,"1,998,463","1,836,911","San Jose-San Francisco-Oakland, CA CSA"
36,"1,903,045","1,670,890","Nashville-Davidson–Murfreesboro, TN CSA"
37,"1,725,246","1,676,822","Virginia Beach-Norfolk, VA-NC CSA"
38,"1,621,122","1,600,852","Boston-Worcester-Providence, MA-RI-NH-CT CSA"
39,"1,576,236","1,555,908","Milwaukee-Racine-Waukesha, WI CSA"
40,"1,504,980","1,345,596","Jacksonville-St. Marys-Palatka, FL-GA CSA"
41,"1,383,737","1,252,987","Oklahoma City-Shawnee, OK CSA"
42,"1,348,260","1,324,829","Memphis-Forrest City, TN-MS-AR CSA"
43,"1,335,079","1,130,490","Raleigh-Durham-Chapel Hill, NC CSA"
44,"1,294,204","1,208,101",
45,"1,293,953","1,235,708","Louisville–Jefferson County–Elizabethtown–Madison, KY-IN CSA"
46,"1,275,762","1,189,866","New Orleans-Metairie-Hammond, LA-MS CSA"
47,"1,210,259","1,212,381","Hartford-West Hartford, CT CSA"
48,"1,203,105","1,087,873","Salt Lake City-Provo-Orem, UT CSA"
49,"1,149,807","1,128,047","Birmingham-Hoover-Talladega, AL CSA"
50,"1,136,856","1,135,509","Buffalo-Cheektowaga, NY CSA"
51,"1,077,948","1,079,671","Rochester-Batavia-Seneca Falls, NY CSA"
52,"1,059,113","988,938","Grand Rapids-Wyoming-Muskegon, MI CSA"
53,"1,022,769","980,263","Tucson-Nogales, AZ CSA"
54,"990,706","937,478","Tulsa-Muskogee-Bartlesville, OK CSA"
55,"989,255","930,450","Fresno-Madera, CA CSA"
56,"988,650","953,207",
57,"949,921","916,829","New York-Newark, NY-NJ-CT-PA CSA"
58,"942,475","916,980","Boston-Worcester-Providence, MA-RI-NH-CT CSA"
59,"933,316","865,350","Omaha-Council Bluffs-Fremont, NE-IA CSA"
60,"910,726","887,077","Albuquerque-Santa Fe-Las Vegas, NM CSA"
61,"895,923","824,112","Greenville-Spartanburg-Anderson, SC CSA"
62,"893,119","839,631",
63,"886,188","870,716","Albany-Schenectady, NY CSA"
64,"877,104","837,571","Knoxville-Morristown-Sevierville, TN CSA"
65,"860,661","774,769","McAllen-Edinburg, TX CSA"
66,"860,435","862,477","New York-Newark, NY-NJ-CT-PA CSA"
67,"854,223","823,318","Los Angeles-Long Beach, CA CSA"
68,"844,818","804,123","El Paso-Las Cruces, TX-NM CSA"
69,"840,550","821,173","New York-Newark, NY-NJ-CT-PA CSA"
70,"834,159","802,484",
71,"825,033","767,598","Columbia-Orangeburg-Newberry, SC CSA"
72,"804,690","702,281","North Port-Sarasota, FL CSA"
73,"803,416","799,232","Dayton-Springfield-Sidney, OH CSA"
74,"775,831","664,607",
75,"761,184","723,801","Greensboro–Winston-Salem–High Point, NC CSA"
76,"745,424","685,306","San Jose-San Francisco-Oakland, CA CSA"
77,"739,224","618,754","Cape Coral-Fort Myers-Naples, FL CSA"
78,"738,344","699,757","Little Rock-North Little Rock, AR CSA"
79,"723,878","645,613",
80,"709,845","616,561","Boise City-Mountain Home-Ontario, ID-OR CSA"
81,"703,505","703,200","Cleveland-Akron-Canton, OH CSA"
82,"686,483","602,095",
83,"667,733","640,595","Greensboro–Winston-Salem–High Point, NC CSA"
84,"665,358","597,159","Salt Lake City-Provo-Orem, UT CSA"
85,"654,841","662,577","Syracuse-Auburn, NY CSA"
86,"654,230","605,435","Madison-Janesville-Beloit, WI CSA"
87,"649,202","590,289","Orlando-Deltona-Daytona Beach, FL CSA"
88,"645,911","569,633","Des Moines-Ames-West Des Moines, IA CSA"
89,"645,628","630,919","Wichita-Arkansas City-Winfield, KS CSA"
90,"631,652","621,570","Springfield-Greenfield Town, MA CSA"
91,"617,675","526,810","Salt Lake City-Provo-Orem, UT CSA"
92,"603,668","610,001","Toledo-Port Clinton, OH CSA"
93,"600,151","564,873",
94,"589,162","543,376",
95,"578,715","567,122","Jackson-Vicksburg-Brookhaven, MS CSA"
96,"571,903","549,475","Harrisburg-York-Lebanon, PA CSA"
97,"567,428","504,357","Raleigh-Durham-Chapel Hill, NC CSA"
