system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
0,0,81,33,14,
1,0,95,36,23,
2,0,90,91,5,
3,0,43,68,16,
4,0,81,26,20,
5,0,42,83,11,
6,0,43,82,10,
7,0,95,14,17,
8,0,43,88,6,
9,0,42,81,11,
10,0,41,44,20,
11,0,11,0,5,
12,0,43,87,6,
13,0,41,23,15,
14,0,41,88,5,
15,0,81,3,6,
16,0,43,58,19,
17,0,95,59,20,
18,0,90,55,18,
19,96,24,1,3,
20,0,90,90,6,
21,0,90,47,24,
22,0,52,56,18,
23,31,22,38,18,
24,0,41,86,9,
25,96,24,0,3,
26,65,23,7,5,
27,0,31,84,11,
28,0,42,17,20,
29,0,31,11,14,
30,32,22,16,17,
31,0,31,1,4,
32,0,81,58,17,
33,0,90,39,22,
34,0,41,88,11,
35,0,82,41,16,
36,0,95,48,22,
37,0,41,61,17,
38,0,52,20,14,
39,0,41,91,5,
40,1,21,84,10,
41,0,81,28,22,
42,0,43,79,11,
43,0,43,87,5,
44,56,22,42,15,
45,0,90,90,6,
46,0,11,0,1,
47,0,41,86,8,
48,0,11,0,0,
49,0,42,88,6,
50,0,43,88,6,
51,0,41,82,11,
52,0,41,88,6,
53,6,21,65,16,
54,0,31,1,5,
55,0,42,71,16,
56,49,22,21,18,
57,0,41,86,8,
58,0,41,56,20,
59,0,95,29,23,
60,0,41,88,7,
61,0,41,86,10,
62,43,22,7,7,
63,0,90,87,8,
64,0,90,35,27,
65,0,90,81,12,
66,0,90,84,8,
67,0,43,90,4,
68,0,81,2,7,
69,0,41,82,11,
70,42,23,66,20,
71,0,41,88,7,
72,0,81,54,25,
73,45,22,31,16,
74,44,22,29,14,
75,0,41,79,10,
76,0,41,31,20,
77,0,90,41,20,
78,0,90,88,6,
79,0,43,86,8,
80,0,42,79,13,
81,0,41,85,11,
82,59,23,14,18,
83,0,42,87,6,
84,0,41,86,6,
85,0,90,83,11,
86,0,41,87,5,
87,0,41,87,12,
88,0,41,73,17,
89,0,11,0,0,
90,11,21,3,5,
91,2,21,61,17,
92,0,90,84,10,
93,0,90,86,8,
94,0,81,75,13,
95,0,43,86,10,
96,0,42,88,7,
97,0,41,85,9,
98,20,23,77,14,
