system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
0,0,42,92,11,
1,0,41,88,9,
2,0,81,7,12,
3,0,41,100,4,
4,0,71,16,19,
5,40,22,43,19,
6,0,81,31,22,
7,0,42,89,11,
8,0,41,96,9,
9,0,81,6,10,
10,0,42,92,10,
11,0,81,26,17,
12,25,22,34,21,
13,0,41,94,9,
14,0,42,98,5,
15,0,42,90,12,
16,0,81,32,20,
17,0,42,81,14,
18,0,41,76,13,
19,0,11,90,16,
20,0,41,86,13,
21,0,41,82,14,
22,32,22,37,19,
23,0,81,66,18,
24,0,81,33,18,
25,0,41,82,13,
26,42,22,22,21,
27,0,52,77,13,
28,0,81,12,17,
29,0,41,93,10,
30,0,41,83,12,
31,0,90,97,8,
32,0,43,100,1,
33,0,41,100,2,
34,0,42,90,15,
35,0,41,85,13,
36,0,81,1,4,
37,0,71,12,13,
38,0,81,73,19,
39,0,41,86,11,
40,0,42,96,6,
41,0,42,97,7,
42,0,81,34,16,
43,0,71,84,12,
44,0,41,99,6,
45,2,21,15,15,
46,18,21,89,11,
47,18,21,6,10,
48,0,42,97,5,
49,0,41,87,16,
50,0,41,86,13,
51,0,42,85,12,
52,0,81,25,16,
53,17,21,3,9,
54,4,21,95,8,
55,0,81,23,24,
56,0,81,28,17,
57,0,41,95,6,
58,0,41,28,18,
59,32,22,48,24,
60,0,41,100,1,
61,6,21,10,9,
62,0,11,2,3,
63,0,41,90,10,
64,0,81,60,23,
65,0,11,2,15,
66,0,42,95,8,
67,0,41,79,13,
68,0,41,97,7,
69,2,21,87,12,
70,0,41,84,13,
71,0,42,94,11,
72,0,81,4,11,
73,28,22,52,17,
74,0,41,85,12,
75,0,71,79,13,
76,0,41,86,10,
77,0,41,49,21,
78,0,81,9,11,
79,0,11,1,6,
80,66,23,3,7,
81,0,81,14,15,
82,0,42,32,19,
83,0,42,91,10,
84,0,81,15,13,
85,0,41,94,7,
86,0,41,86,15,
87,5,21,38,26,
88,0,81,3,6,
89,0,41,69,17,
90,23,22,5,8,
91,0,81,27,18,
92,0,81,13,14,
93,0,41,90,10,
94,0,41,95,8,
95,0,42,98,5,
96,19,21,52,20,
97,0,81,4,6,
98,0,81,0,2,
99,0,41,99,3,
100,20,22,65,23,
101,52,23,15,14,
102,0,41,94,12,
103,0,41,93,10,
104,0,42,96,8,
105,25,22,24,13,
106,59,23,1,4,
107,0,42,95,7,
108,0,81,7,10,
109,0,42,97,7,
110,0,42,99,5,
111,53,23,12,17,
112,0,81,4,7,
113,0,81,7,16,
114,0,41,97,8,
115,0,41,93,11,
116,0,41,75,14,
117,0,41,63,18,
118,0,81,49,23,
119,0,41,70,21,
120,0,81,30,15,
121,0,11,17,17,
122,0,11,23,19,
123,0,81,35,16,
124,0,11,82,19,
125,0,41,99,4,
126,41,22,22,15,
127,0,41,64,17,
128,0,41,99,3,
129,0,81,35,18,
130,3,21,77,20,
131,0,41,80,12,
132,0,43,95,6,
133,0,41,100,0,
134,0,41,96,14,
135,0,81,2,7,
136,0,41,100,1,
137,0,82,4,9,
138,0,41,76,13,
139,30,22,35,21,
140,0,81,22,16,
141,0,42,94,8,
142,0,11,10,20,
143,0,41,95,7,
144,0,41,98,4,
145,15,21,93,13,
146,0,41,87,11,
147,0,11,7,15,
148,0,81,8,9,
149,44,22,15,14,
150,0,81,39,24,
151,0,41,98,6,
152,0,42,90,12,
153,0,81,16,16,
154,0,81,8,13,
155,0,41,98,5,
156,0,42,50,19,
157,0,81,40,22,
158,0,41,97,6,
159,0,41,95,8,
160,0,42,92,11,
161,0,41,92,13,
162,0,81,27,17,
163,0,81,88,15,
164,0,81,0,3,
165,0,81,24,23,
166,0,41,94,9,
167,78,23,0,2,
168,0,71,31,19,
169,0,81,3,6,
170,0,41,79,18,
171,0,43,96,6,
172,0,41,87,13,
173,0,41,82,12,
174,13,21,31,17,
175,0,71,83,12,
176,0,41,82,16,
177,0,71,48,20,
178,0,81,41,20,
179,0,41,74,25,
180,0,41,93,8,
181,3,21,11,14,
182,0,81,3,9,
183,30,22,10,12,
184,0,81,1,6,
185,3,21,62,19,
186,0,42,99,4,
187,0,81,12,13,
188,14,21,90,11,
189,0,41,74,18,
190,0,81,1,6,
191,0,41,100,1,
192,0,42,87,19,
193,0,41,100,2,
194,29,22,34,16,
195,0,81,6,11,
196,10,21,4,9,
197,0,71,40,18,
198,0,41,100,2,
199,0,41,98,4,
200,0,42,86,14,
201,0,42,96,10,
