system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
0,0,82,0,0,
1,0,82,0,1,
2,24,22,13,11,
3,21,21,0,3,
4,0,82,0,1,
5,0,41,67,17,
6,0,82,0,1,
7,0,82,0,4,
8,0,82,0,1,
9,52,23,1,2,
10,0,82,1,2,
11,30,22,15,11,
12,0,82,2,5,
13,0,81,2,6,
14,49,22,13,8,
15,0,82,4,6,
16,0,82,0,0,
17,0,82,1,4,
18,37,22,4,6,
19,0,82,0,3,
20,24,22,0,4,
21,11,21,6,9,
22,0,82,0,1,
23,0,82,3,8,
24,48,22,16,10,
25,0,41,66,21,
26,0,41,74,17,
27,0,82,0,1,
28,0,82,2,5,
29,0,81,0,1,
30,28,22,13,10,
31,0,82,0,3,
32,8,21,6,8,
33,0,82,0,1,
34,44,22,0,3,
35,0,82,0,1,
36,5,21,15,17,
37,0,82,0,2,
38,0,82,0,3,
39,39,22,4,4,
40,47,22,12,9,
41,0,41,75,18,
42,0,41,52,29,
43,0,82,0,0,
44,0,82,0,1,
45,59,22,12,9,
46,0,82,12,13,
47,0,82,0,0,
48,27,22,11,9,
49,0,41,31,16,
50,0,82,0,1,
51,0,82,2,7,
52,66,23,1,3,
53,0,82,2,8,
54,0,82,0,0,
55,0,82,0,1,
56,0,82,0,2,
57,0,82,2,8,
58,0,82,0,0,
59,0,82,0,1,
60,0,82,0,1,
61,0,82,3,12,
62,0,82,0,2,
63,0,82,1,4,
64,0,82,0,4,
65,0,82,1,4,
66,0,81,3,6,
67,0,82,1,3,
68,0,82,1,3,
69,0,81,3,7,
70,0,82,2,6,
71,0,81,3,6,
72,0,95,28,27,
73,0,82,0,2,
74,0,71,1,4,
75,0,82,0,2,
76,0,90,37,23,
77,0,82,0,3,
78,0,82,0,1,
79,0,82,10,15,
80,31,22,17,9,
81,21,22,0,3,
82,0,82,0,1,
83,0,82,0,2,
84,80,24,2,3,
85,0,82,0,0,
86,0,82,0,2,
87,0,82,0,2,
88,0,82,0,0,
89,0,71,2,4,
90,0,82,0,1,
91,0,81,0,3,
92,0,82,0,0,
93,0,82,0,3,
94,10,21,1,4,
95,0,82,0,2,
96,0,82,0,1,
97,0,82,0,0,
98,30,22,11,9,
99,0,82,13,14,
100,0,82,4,8,
101,54,23,15,11,
102,0,82,1,3,
103,0,82,0,2,
104,0,41,87,9,
105,22,22,5,10,
106,0,82,0,0,
107,0,41,72,19,
108,0,82,0,2,
109,0,82,1,3,
110,0,82,0,0,
111,0,82,2,5,
112,0,82,0,1,
113,78,23,1,4,
114,35,22,3,7,
115,0,82,1,5,
116,0,82,0,3,
117,0,82,1,4,
118,0,82,0,1,
119,0,82,1,5,
120,0,41,64,16,
121,46,22,13,10,
122,0,82,0,1,
123,22,22,6,7,
124,0,71,23,14,
125,0,82,0,0,
126,0,82,0,0,
127,0,82,1,4,
128,0,82,0,1,
129,5,21,8,16,
130,0,71,11,11,
131,0,82,0,2,
132,0,11,3,7,
133,0,82,1,4,
134,0,82,0,2,
135,0,82,0,2,
136,0,82,27,17,
137,0,82,0,2,
138,0,82,0,1,
139,7,21,75,15,
140,0,82,1,3,
141,0,82,0,3,
142,0,82,0,2,
143,0,82,3,7,
144,0,82,0,1,
145,78,23,9,10,
146,0,82,4,8,
147,0,82,0,1,
148,0,82,0,2,
149,0,82,0,1,
150,0,81,9,13,
151,0,82,2,6,
152,0,90,86,11,
153,0,82,0,2,
154,0,41,56,17,
155,96,24,0,3,
156,0,82,0,1,
157,0,82,0,2,
158,0,81,0,2,
159,0,82,0,3,
160,0,82,2,5,
161,0,82,0,2,
162,0,82,0,2,
163,0,82,0,1,
164,0,81,14,14,
165,42,22,9,7,
166,0,82,0,2,
167,4,21,0,3,
168,0,41,83,12,
169,0,82,0,0,
170,0,82,2,7,
171,62,23,2,5,
172,12,21,4,6,
173,48,22,5,5,
174,50,23,17,13,
175,61,21,6,9,
176,0,82,2,6,
177,0,82,1,4,
178,0,82,2,4,
179,0,71,23,17,
180,39,22,23,21,
181,0,82,0,0,
182,82,24,0,3,
183,0,82,0,2,
184,0,82,0,3,
185,0,82,0,1,
186,0,82,0,2,
187,0,82,1,3,
188,86,22,5,9,
189,0,11,18,18,
190,91,24,0,3,
191,0,82,2,6,
192,0,82,0,1,
193,0,82,0,0,
194,0,82,2,7,
195,0,82,0,2,
196,0,41,75,18,
197,0,82,0,0,
198,68,23,7,9,
199,0,82,0,1,
200,29,21,10,16,
201,0,41,83,12,
202,0,31,0,3,
203,0,41,87,13,
204,33,22,13,9,
205,0,82,2,4,
206,0,41,67,19,
207,46,22,13,11,
208,12,22,2,4,
209,0,82,0,3,
210,0,95,66,19,
211,0,31,0,3,
212,71,23,9,8,
213,0,81,0,2,
214,0,82,0,1,
215,0,82,1,3,
216,11,22,42,23,
217,0,82,0,2,
218,0,82,0,2,
219,0,82,0,2,
220,0,82,0,1,
221,0,41,73,13,
222,0,82,0,1,
223,40,22,8,9,
224,0,82,0,1,
225,42,22,1,5,
226,53,23,7,6,
227,0,41,58,17,
228,15,21,38,18,
229,0,52,30,20,
230,0,82,2,8,
231,0,82,0,2,
232,0,82,0,1,
233,0,82,0,0,
234,0,82,0,1,
235,46,22,2,4,
236,0,41,4,9,
237,33,22,1,3,
238,25,22,6,7,
239,0,82,5,8,
240,0,82,0,2,
241,33,22,24,18,
242,20,22,10,9,
243,0,82,1,6,
244,0,82,1,5,
245,0,82,1,4,
246,0,82,34,24,
247,0,82,0,0,
248,0,82,1,3,
249,0,82,0,0,
250,0,82,26,16,
251,0,82,0,0,
252,0,82,0,1,
253,0,81,2,4,
254,24,22,34,21,
255,24,22,9,10,
256,0,90,76,17,
257,0,82,0,0,
258,0,82,1,2,
259,0,82,0,2,
260,0,82,0,2,
261,0,82,64,22,
262,0,82,0,3,
263,26,22,10,8,
264,0,82,0,0,
265,0,82,0,1,
266,0,82,0,0,
267,28,22,7,8,
268,0,82,0,1,
269,0,71,6,6,
270,40,22,7,11,
271,0,82,0,1,
272,0,82,0,1,
273,0,82,0,2,
274,0,82,0,2,
275,0,82,0,1,
276,0,11,0,0,
277,0,82,0,3,
278,0,71,4,7,
279,72,23,7,8,
280,0,82,0,2,
281,0,41,84,12,
282,0,82,0,2,
283,0,82,0,0,
284,29,22,39,25,
285,0,82,4,7,
286,0,82,1,5,
287,0,82,1,3,
288,0,41,69,19,
289,77,23,13,12,
290,0,82,0,1,
291,0,82,0,3,
292,9,21,74,17,
293,28,22,12,10,
294,0,82,0,1,
295,0,81,9,16,
296,0,82,4,8,
297,0,82,1,4,
298,0,71,7,9,
299,0,82,0,1,
300,0,82,0,3,
301,24,22,4,5,
302,89,24,4,5,
303,0,82,0,3,
304,28,22,12,10,
305,0,82,2,5,
306,0,71,24,19,
307,0,82,5,9,
308,0,82,0,0,
309,0,82,7,14,
310,0,90,73,16,
311,100,24,8,12,
312,0,82,13,18,
313,0,82,16,18,
314,0,82,1,2,
315,56,23,0,3,
316,50,23,4,5,
317,0,41,84,10,
318,0,82,0,2,
319,7,21,0,4,
320,84,23,6,7,
321,0,82,14,11,
322,0,82,0,0,
323,0,82,0,1,
324,0,31,7,11,
325,51,23,6,5,
326,0,82,0,0,
327,30,22,9,7,
328,25,22,61,24,
329,0,82,1,4,
330,0,11,5,11,
331,0,82,2,4,
332,33,22,58,25,
333,19,21,4,8,
334,62,22,10,11,
335,0,82,1,4,
336,81,24,3,6,
337,0,82,0,1,
338,0,41,85,9,
339,10,21,26,23,
340,0,41,47,19,
341,0,81,1,4,
342,0,41,74,17,
343,79,23,7,8,
344,30,22,15,11,
345,0,82,0,3,
346,0,82,0,1,
347,0,82,0,0,
348,14,21,15,13,
349,11,21,60,20,
350,0,82,0,1,
351,0,41,34,18,
352,0,82,0,2,
353,0,82,0,2,
354,39,22,2,8,
355,0,82,0,0,
356,0,82,0,2,
357,0,82,3,6,
358,0,82,0,0,
359,13,21,6,10,
360,0,82,0,2,
361,0,82,1,3,
362,14,21,33,21,
363,0,82,0,1,
364,0,82,1,3,
365,7,21,2,5,
366,19,21,13,11,
367,0,52,74,19,
368,0,82,0,0,
369,79,23,1,4,
370,32,22,6,7,
371,40,22,4,5,
372,0,82,0,3,
373,0,31,1,4,
374,0,95,16,19,
375,0,82,0,0,
376,0,82,0,0,
377,0,82,0,1,
378,0,82,0,0,
379,0,82,0,2,
380,0,82,2,9,
381,0,82,16,14,
382,0,82,0,1,
383,0,82,0,2,
